slug,論点名,5管理分類,出現回数,出題年度数,直近出題年度,出題年度リスト,ページURL
industrial-property-rights,産業財産権,情報管理,7,7,令和6年度,平成21年度;平成23年度;平成25年度;平成26年度;平成30年度;令和4年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-industrial-property-rights
consumer-safety,消費者安全,安全管理,7,7,令和6年度,平成22年度;平成28年度;平成29年度;令和2年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-consumer-safety
redundancy-safety,冗長安全,安全管理,7,7,令和3年度,平成21年度;平成23年度;平成25年度;平成26年度;平成29年度;令和2年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-redundancy-safety
functional-organization,職能別組織,人的資源管理,7,7,令和4年度,平成21年度;平成22年度;平成24年度;平成26年度;平成29年度;令和3年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-functional-organization
progress-management,進捗管理,経済性管理,7,7,令和6年度,平成22年度;平成24年度;平成26年度;令和3年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-progress-management
direct-costing,直接原価計算,経済性管理,7,7,令和7年度,平成25年度;平成27年度;平成30年度;令和2年度;令和3年度;令和5年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-direct-costing
investment-recovery-plan,投資回収計画,経済性管理,7,7,令和6年度,平成24年度;平成25年度;平成27年度;平成28年度;平成30年度;令和3年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-investment-recovery-plan
cause-and-effect-diagram,特性要因図,経済性管理,7,7,令和6年度,平成23年度;平成24年度;平成25年度;平成26年度;平成28年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-cause-and-effect-diagram
standard-costing,標準原価計算,経済性管理,7,7,令和8年度,平成24年度;平成25年度;平成26年度;平成27年度;令和2年度;令和3年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-standard-costing
pmbok,PMBOK,経済性管理,7,6,令和5年度,平成23年度;平成25年度;平成27年度;令和2年度;令和4年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-pmbok
lifecycle-costing-method,ライフサイクルコスティング,経済性管理,7,6,令和3年度,平成21年度;平成22年度;平成24年度;平成27年度;平成29年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-lifecycle-costing-method
safety-management-system,安全マネジメントシステム,安全管理,7,6,令和6年度,平成21年度;平成22年度;平成30年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-safety-management-system
eco-label,環境ラベル,社会環境管理,7,6,令和6年度,平成22年度;平成23年度;平成27年度;平成28年度;令和3年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-eco-label
formal-informal-organization,公式組織・非公式組織,人的資源管理,7,6,令和3年度,平成21年度;平成22年度;平成23年度;平成26年度;平成27年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-formal-informal-organization
information-disclosure,情報開示,情報管理,7,6,令和6年度,平成22年度;平成25年度;平成28年度;令和3年度;令和4年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-information-disclosure
disaster-prevention,防災,安全管理,7,6,令和6年度,平成29年度;平成30年度;令和元年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-disaster-prevention
osh-management-system,労働安全衛生管理システム,安全管理,7,6,令和7年度,平成25年度;令和3年度;令和4年度;令和5年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-osh-management-system
mobile-communication,移動通信,情報管理,7,5,令和5年度,平成23年度;平成25年度;平成30年度;令和2年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-mobile-communication
five-s,5S,経済性管理,6,6,令和7年度,平成22年度;平成25年度;平成27年度;平成30年度;令和5年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-five-s
fmea,FMEA,安全管理,6,6,令和8年度,平成21年度;平成23年度;平成26年度;令和2年度;令和4年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-fmea
eco-action-21,エコアクション21,社会環境管理,6,6,令和7年度,平成22年度;平成23年度;平成25年度;平成28年度;令和2年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-eco-action-21
servant-leadership,サーバントリーダーシップ,人的資源管理,6,6,令和7年度,平成25年度;平成26年度;平成28年度;平成30年度;令和2年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-servant-leadership
knowledge-sharing,ナレッジマネジメント,情報管理,6,6,令和5年度,平成22年度;平成23年度;平成24年度;平成26年度;平成28年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-knowledge-sharing
bathtub-curve,バスタブカーブ,経済性管理,6,6,令和7年度,平成23年度;令和元年度;令和2年度;令和4年度;令和5年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-bathtub-curve
fool-proof,フールプルーフ,安全管理,6,6,令和6年度,平成21年度;平成24年度;平成25年度;平成27年度;令和元年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-fool-proof
fault-tolerance,フォールトトレランス,安全管理,6,6,令和元年度,平成21年度;平成23年度;平成24年度;平成25年度;平成26年度;令和元年度,https://doboku-note.com/docs/pe-comprehensive-management-fault-tolerance
flextime-system,フレックスタイム制,人的資源管理,6,6,令和6年度,平成23年度;平成25年度;平成27年度;平成30年度;令和4年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-flextime-system
blockchain-crypto,ブロックチェーン・暗号資産,情報管理,6,6,令和6年度,平成24年度;平成29年度;平成30年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-blockchain-crypto
ramsar-convention,ラムサール条約,社会環境管理,6,6,令和7年度,平成21年度;平成30年度;令和2年度;令和3年度;令和5年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-ramsar-convention
resilience,レジリエンス,安全管理,6,6,令和6年度,平成24年度;平成27年度;令和2年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-resilience
improvement-maintenance,改良保全,経済性管理,6,6,令和5年度,平成21年度;平成23年度;平成25年度;令和2年度;令和4年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-improvement-maintenance
confidentiality,機密性,情報管理,6,6,令和6年度,平成26年度;平成27年度;平成29年度;令和3年度;令和4年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-confidentiality
cost-variance-analysis,原価差異分析,経済性管理,6,6,令和6年度,平成24年度;平成25年度;令和2年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-cost-variance-analysis
self-development,自己啓発,人的資源管理,6,6,令和8年度,平成25年度;平成29年度;平成30年度;令和2年度;令和6年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-self-development
utility-model-rights,実用新案権（実用新案法）,情報管理,6,6,令和6年度,平成25年度;平成27年度;平成28年度;平成29年度;令和2年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-utility-model-rights
water-pollution-control-act,水質汚濁防止法,社会環境管理,6,6,令和7年度,平成21年度;平成25年度;平成28年度;平成30年度;令和3年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-water-pollution-control-act
integer-programming,整数計画法,経済性管理,6,6,令和6年度,平成24年度;平成25年度;平成28年度;平成29年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-integer-programming
multi-objective-optimization,多目的最適化,経済性管理,6,6,令和6年度,平成24年度;平成28年度;平成29年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-multi-objective-optimization
equal-pay-for-equal-work,同一労働同一賃金,人的資源管理,6,6,令和7年度,平成21年度;平成28年度;平成29年度;令和3年度;令和4年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-equal-pay-for-equal-work
anonymized-information,匿名加工情報,情報管理,6,6,令和8年度,平成26年度;平成29年度;平成30年度;令和2年度;令和3年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-anonymized-information
antitrust-compliance,独占禁止法とコンプライアンス,情報管理,6,6,令和7年度,平成22年度;平成24年度;平成28年度;平成30年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-antitrust-compliance
load-leveling,負荷平準化（山積み・山くずし）,経済性管理,6,6,令和8年度,平成21年度;平成22年度;平成23年度;平成26年度;平成27年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-load-leveling
maintenance-prevention,保全予防,経済性管理,6,6,令和4年度,平成21年度;平成23年度;平成25年度;平成26年度;令和2年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-maintenance-prevention
radioactive-waste,放射性廃棄物,社会環境管理,6,6,令和7年度,平成24年度;平成26年度;平成28年度;平成29年度;令和元年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-radioactive-waste
mbo,目標管理制度（MBO）,人的資源管理,6,6,令和4年度,平成23年度;平成27年度;平成28年度;平成29年度;平成30年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-mbo
pm-theory,PM理論,人的資源管理,6,5,令和7年度,平成25年度;平成26年度;平成28年度;令和2年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-pm-theory
eta,イベントツリー分析（ETA）,安全管理,6,5,令和5年度,平成23年度;平成26年度;令和2年度;令和4年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-eta
scm-system,サプライチェーンマネジメント（SCM）システム,情報管理,6,5,平成30年度,平成21年度;平成24年度;平成27年度;平成28年度;平成30年度,https://doboku-note.com/docs/pe-comprehensive-management-scm-system
part-time-fixed-term-act,パートタイム・有期雇用労働法,人的資源管理,6,5,令和7年度,平成22年度;平成29年度;令和3年度;令和4年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-part-time-fixed-term-act
design-for-environment,環境適合設計,社会環境管理,6,5,平成29年度,平成23年度;平成24年度;平成26年度;平成28年度;平成29年度,https://doboku-note.com/docs/pe-comprehensive-management-design-for-environment
alert-levels,警戒レベル,安全管理,6,5,令和7年度,平成25年度;平成29年度;令和4年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-alert-levels
corrective-maintenance,事後保全,経済性管理,6,5,令和7年度,平成23年度;平成25年度;平成29年度;令和2年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-corrective-maintenance
employment-statistics,就労状況・労働統計,人的資源管理,6,5,令和3年度,平成24年度;平成28年度;平成29年度;平成30年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-employment-statistics
small-group-activities,小集団活動（ZD運動，改善提案活動，TPM，TQC等）,安全管理,6,5,平成28年度,平成22年度;平成24年度;平成26年度;平成27年度;平成28年度,https://doboku-note.com/docs/pe-comprehensive-management-small-group-activities
psychological-safety,心理的安全性,人的資源管理,6,5,令和8年度,平成27年度;令和3年度;令和5年度;令和7年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-psychological-safety
generative-ai,生成AI,情報管理,6,5,令和8年度,平成29年度;令和2年度;令和3年度;令和4年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-generative-ai
vulnerability,脆弱性（セキュリティホール）,情報管理,6,5,令和6年度,平成22年度;平成23年度;平成25年度;平成28年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-vulnerability
equipment-reliability,設備の信頼性,経済性管理,6,5,令和6年度,平成29年度;令和2年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-equipment-reliability
organizational-commitment,組織コミットメント,人的資源管理,6,5,令和5年度,平成22年度;平成27年度;令和3年度;令和4年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-organizational-commitment
cost-effectiveness-analysis,費用効果分析,経済性管理,6,5,令和3年度,平成22年度;平成27年度;平成29年度;平成30年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-cost-effectiveness-analysis
labor-productivity,労働生産性,人的資源管理,6,5,令和3年度,平成21年度;平成27年度;平成28年度;平成30年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-labor-productivity
sl-theory,SL理論,人的資源管理,5,5,令和7年度,平成21年度;平成25年度;平成26年度;平成30年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-sl-theory
web-services,WEBサービス,情報管理,5,5,令和8年度,平成23年度;平成25年度;平成27年度;令和6年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-web-services
access-control,アクセス制御・アクセス権限設定,情報管理,5,5,令和3年度,平成23年度;平成27年度;平成28年度;令和元年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-access-control
activity-abc,アクティビティ,経済性管理,5,5,令和6年度,平成24年度;平成28年度;平成30年度;令和元年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-activity-abc
interlock,インターロック（安全装置・安全機構）,安全管理,5,5,令和6年度,平成22年度;平成24年度;平成26年度;平成27年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-interlock
edge-computing,エッジコンピューティング,情報管理,5,5,令和6年度,平成29年度;令和2年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-edge-computing
job-type-employment,ジョブ型（職務主義）,人的資源管理,5,5,令和8年度,平成28年度;平成30年度;令和4年度;令和5年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-job-type-employment
data-mining,データマイニング,情報管理,5,5,令和6年度,平成22年度;平成23年度;平成27年度;令和2年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-data-mining
power-harassment,パワーハラスメント,人的資源管理,5,5,令和8年度,平成28年度;令和元年度;令和3年度;令和5年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-power-harassment
pull-production,プル型生産方式,経済性管理,5,5,令和6年度,平成23年度;平成28年度;平成29年度;令和3年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-pull-production
lead-time,リードタイム,経済性管理,5,5,令和8年度,平成27年度;令和2年度;令和5年度;令和6年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-lead-time
tacit-knowledge,暗黙知,情報管理,5,5,令和5年度,平成22年度;平成23年度;平成26年度;平成28年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-tacit-knowledge
polluter-pays-principle,汚染者負担原則（PPP）,社会環境管理,5,5,平成29年度,平成21年度;平成24年度;平成26年度;平成28年度;平成29年度,https://doboku-note.com/docs/pe-comprehensive-management-polluter-pays-principle
chemical-substances-review-act,化審法,社会環境管理,5,5,令和8年度,平成22年度;平成23年度;平成25年度;平成29年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-chemical-substances-review-act
pdpc-method,過程決定計画図（PDPC法）,経済性管理,5,5,令和6年度,平成24年度;平成25年度;平成26年度;平成27年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-pdpc-method
payback-period-method,回収期間法,経済性管理,5,5,令和8年度,平成24年度;平成25年度;平成28年度;令和3年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-payback-period-method
kyt,危険予知訓練（KYT）,安全管理,5,5,令和7年度,平成22年度;平成24年度;平成28年度;令和3年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-kyt
emergency-info-systems,緊急時情報システム・サービス,情報管理,5,5,令和5年度,平成23年度;平成24年度;平成25年度;平成27年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-emergency-info-systems
explicit-knowledge,形式知,情報管理,5,5,令和5年度,平成22年度;平成23年度;平成26年度;平成28年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-explicit-knowledge
data-breach-response,個人情報の漏洩時対応,情報管理,5,5,令和6年度,平成21年度;平成24年度;平成25年度;令和3年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-data-breach-response
individual-labor-dispute-act,個別労働紛争解決促進法,人的資源管理,5,5,令和5年度,平成24年度;平成25年度;平成27年度;平成29年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-individual-labor-dispute-act
process-capability-index,工程能力指数（Cp・Cpk）,経済性管理,5,5,令和7年度,平成30年度;令和2年度;令和3年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-process-capability-index
divisional-organization,事業部制組織,人的資源管理,5,5,令和3年度,平成22年度;平成24年度;平成26年度;平成29年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-divisional-organization
women-empowerment-act,女性活躍推進法,人的資源管理,5,5,令和5年度,平成26年度;平成28年度;平成29年度;平成30年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-women-empowerment-act
job-design,職務設計,人的資源管理,5,5,平成30年度,平成22年度;平成25年度;平成26年度;平成28年度;平成30年度,https://doboku-note.com/docs/pe-comprehensive-management-job-design
system-reliability,信頼性（Reliability）,情報管理,5,5,令和6年度,平成23年度;平成27年度;令和2年度;令和3年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-system-reliability
estimation-testing,推定・検定,情報管理,5,5,令和7年度,令和2年度;令和3年度;令和4年度;令和5年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-estimation-testing
theory-of-constraints,制約条件の理論（TOC）,経済性管理,5,5,令和4年度,平成23年度;平成28年度;平成30年度;令和3年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-theory-of-constraints
performance-based-pay,成果主義賃金,人的資源管理,5,5,令和5年度,平成24年度;平成29年度;平成30年度;令和3年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-performance-based-pay
product-liability,製造物責任（PL）,経済性管理,5,5,令和4年度,平成21年度;平成22年度;平成26年度;平成27年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-product-liability
break-even-point,損益分岐点・限界利益・優劣分岐点,経済性管理,5,5,令和7年度,平成21年度;平成29年度;令和3年度;令和5年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-break-even-point
gender-equality-act,男女共同参画社会基本法,人的資源管理,5,5,令和6年度,平成22年度;平成26年度;令和3年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-gender-equality-act
ip-protection,知的財産の保護,情報管理,5,5,令和6年度,平成23年度;平成25年度;平成28年度;平成29年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-ip-protection
unfair-competition-prevention-act,不正競争防止法,情報管理,5,5,令和5年度,平成21年度;平成22年度;平成23年度;平成25年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-unfair-competition-prevention-act
inherent-safety,本質安全,安全管理,5,5,令和7年度,平成21年度;平成26年度;令和3年度;令和5年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-inherent-safety
predictive-maintenance,予知保全,経済性管理,5,5,令和8年度,平成25年度;平成29年度;令和2年度;令和4年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-predictive-maintenance
scientific-management,テイラーの科学的管理法,人的資源管理,5,4,令和6年度,平成21年度;平成23年度;平成27年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-scientific-management
hazard-map,ハザードマップ,社会環境管理,5,4,令和6年度,平成22年度;令和元年度;令和4年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-hazard-map
safety-health-policy,安全衛生方針,安全管理,5,4,令和7年度,平成25年度;令和3年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-safety-health-policy
biodiversity-basic-act,生物多様性基本法,社会環境管理,5,4,令和4年度,平成21年度;平成30年度;令和3年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-biodiversity-basic-act
zero-trust,ゼロトラスト,情報管理,5,3,令和7年度,令和3年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-zero-trust
hazop,HAZOP,安全管理,4,4,令和4年度,平成23年度;平成26年度;令和2年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-hazop
iso-26000,ISO 26000,社会環境管理,4,4,令和7年度,令和2年度;令和3年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-iso-26000
pfi,PFI,経済性管理,4,4,令和3年度,平成21年度;平成27年度;平成28年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-pfi
qc-circle,QCサークル,人的資源管理,4,4,平成29年度,平成24年度;平成26年度;平成28年度;平成29年度,https://doboku-note.com/docs/pe-comprehensive-management-qc-circle
career-path,キャリアパス,人的資源管理,4,4,令和7年度,令和2年度;令和3年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-career-path
network-organization,ネットワーク組織,人的資源管理,4,4,令和4年度,平成24年度;平成29年度;令和3年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-network-organization
pyramid-organization,ピラミッド組織,人的資源管理,4,4,令和8年度,平成22年度;平成29年度;令和4年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-pyramid-organization
phishing-pharming,フィッシング詐欺・ファーミング詐欺,情報管理,4,4,平成30年度,平成21年度;平成24年度;平成29年度;平成30年度,https://doboku-note.com/docs/pe-comprehensive-management-phishing-pharming
push-production,プッシュ型生産方式,経済性管理,4,4,令和6年度,平成23年度;平成28年度;平成29年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-push-production
flat-organization,フラット組織,人的資源管理,4,4,令和8年度,平成22年度;平成29年度;令和3年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-flat-organization
hawthorne-experiment,メイヨーのホーソン実験,人的資源管理,4,4,平成27年度,平成21年度;平成22年度;平成23年度;平成27年度,https://doboku-note.com/docs/pe-comprehensive-management-hawthorne-experiment
mentor,メンター,人的資源管理,4,4,令和7年度,平成29年度;令和3年度;令和6年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-mentor
membership-type-employment,メンバーシップ型（属人主義）,人的資源管理,4,4,令和8年度,平成28年度;平成30年度;令和4年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-membership-type-employment
risk-map-matrix,リスクマップ／リスクマトリクス,安全管理,4,4,平成28年度,平成22年度;平成24年度;平成27年度;平成28年度,https://doboku-note.com/docs/pe-comprehensive-management-risk-map-matrix
visual-management,可視化（目で見る管理）,経済性管理,4,4,令和6年度,平成22年度;平成27年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-visual-management
ocean-plastic,海洋プラスチック問題,社会環境管理,4,4,令和6年度,令和2年度;令和4年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-ocean-plastic
disclosure-standards,開示基準,情報管理,4,4,令和4年度,平成22年度;平成25年度;平成28年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-disclosure-standards
functional-safety,機能安全,安全管理,4,4,令和7年度,平成22年度;平成26年度;令和2年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-functional-safety
continued-employment-system,継続雇用制度,人的資源管理,4,4,令和6年度,平成23年度;平成27年度;令和2年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-continued-employment-system
nuclear-disaster-act,原子力災害対策特別措置法,社会環境管理,4,4,令和7年度,平成26年度;平成29年度;令和元年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-nuclear-disaster-act
inventory-control,現品管理,経済性管理,4,4,令和5年度,平成22年度;平成26年度;平成28年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-inventory-control
elderly-employment-act,高年齢者雇用安定法,人的資源管理,4,4,令和6年度,平成27年度;令和2年度;令和5年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-elderly-employment-act
minimum-wage-act,最低賃金法,人的資源管理,4,4,令和8年度,平成29年度;令和2年度;令和3年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-minimum-wage-act
accident-cost,災害コスト,安全管理,4,4,令和6年度,平成23年度;平成29年度;平成30年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-accident-cost
nature-conservation-act,自然環境保全法,社会環境管理,4,4,令和5年度,平成22年度;平成24年度;平成28年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-nature-conservation-act
sri,社会的責任投資（SRI）,社会環境管理,4,4,令和8年度,平成26年度;令和元年度;令和4年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-sri
return-to-work-support,職場復帰支援,人的資源管理,4,4,令和6年度,平成23年度;平成25年度;平成27年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-return-to-work-support
appraisal-three-principles,人事考課の三原則,人的資源管理,4,4,平成29年度,平成22年度;平成25年度;平成28年度;平成29年度,https://doboku-note.com/docs/pe-comprehensive-management-appraisal-three-principles
correlation-analysis,相関分析,情報管理,4,4,令和5年度,令和2年度;令和3年度;令和4年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-correlation-analysis
360-degree-evaluation,多面評価（360度評価）,人的資源管理,4,4,令和7年度,平成25年度;平成27年度;令和元年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-360-degree-evaluation
multi-factor-authentication,多要素認証,情報管理,4,4,令和3年度,平成27年度;平成28年度;令和元年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-multi-factor-authentication
invasive-alien-species,特定外来生物,社会環境管理,4,4,令和4年度,平成21年度;平成30年度;令和2年度;令和4年度,https://doboku-note.com/docs/pe-comprehensive-management-invasive-alien-species
internal-rate-of-return,内部収益率法,経済性管理,4,4,令和6年度,平成24年度;平成25年度;令和3年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-internal-rate-of-return
quality-planning,品質計画,経済性管理,4,4,令和5年度,平成22年度;平成25年度;平成28年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-quality-planning
quality-policy,品質方針,経済性管理,4,4,平成28年度,平成21年度;平成22年度;平成27年度;平成28年度,https://doboku-note.com/docs/pe-comprehensive-management-quality-policy
unauthorized-access,不正アクセス,情報管理,4,4,令和6年度,平成21年度;平成23年度;平成25年度;令和6年度,https://doboku-note.com/docs/pe-comprehensive-management-unauthorized-access
load-capacity,負荷工数・生産能力,経済性管理,4,4,平成30年度,平成21年度;平成27年度;平成29年度;平成30年度,https://doboku-note.com/docs/pe-comprehensive-management-load-capacity
multi-track-hr-system,複線型人事制度,人的資源管理,4,4,令和7年度,平成23年度;平成28年度;令和2年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-multi-track-hr-system
radioactive-decontamination-act,放射性物質汚染対処特別措置法,社会環境管理,4,4,令和元年度,平成26年度;平成28年度;平成29年度;令和元年度,https://doboku-note.com/docs/pe-comprehensive-management-radioactive-decontamination-act
problem-solving-ability,問題解決能力,人的資源管理,4,4,平成28年度,平成24年度;平成26年度;平成27年度;平成28年度,https://doboku-note.com/docs/pe-comprehensive-management-problem-solving-ability
precautionary-principle,予防原則,社会環境管理,4,4,令和3年度,平成30年度;令和元年度;令和2年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-precautionary-principle
capacity-management,余力管理,経済性管理,4,4,平成30年度,平成22年度;平成23年度;平成26年度;平成30年度,https://doboku-note.com/docs/pe-comprehensive-management-capacity-management
workers-compensation-insurance,労災保険制度,人的資源管理,4,4,令和8年度,平成26年度;平成30年度;令和6年度;令和8年度,https://doboku-note.com/docs/pe-comprehensive-management-workers-compensation-insurance
occupational-accident-prevention-plan,労働災害防止計画,安全管理,4,4,令和7年度,平成24年度;平成29年度;平成30年度;令和7年度,https://doboku-note.com/docs/pe-comprehensive-management-occupational-accident-prevention-plan
labor-share-ratio,労働分配率,人的資源管理,4,4,令和3年度,平成21年度;平成24年度;平成27年度;令和3年度,https://doboku-note.com/docs/pe-comprehensive-management-labor-share-ratio
tcfd,TCFD提言,社会環境管理,4,3,令和5年度,令和2年度;令和4年度;令和5年度,https://doboku-note.com/docs/pe-comprehensive-management-tcfd
